"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","day","trophic_type"
"sample_00002",62.2567777777778,6.33610734703345,255.5145,52.5123288786678,57.77622,5.63471023556628,22.88772,2.45519274267456,14.23593,2.58116387158531,1.67011111111111,0.410226058645619,-0.13,0.8,1.92,45,79.89,80,41.57,152.45,79.4,11.59,0.58,1.97,40.03,162,14.62,"sample_00002-203","22.09.22",0,0,"autotrophic"
"sample_00002",56.2214782608696,5.04135902374787,196.116847826087,29.8696935018799,50.8211608695652,4.7365101142603,20.4065413043478,1.69493901403106,12.2850586956522,1.93052023179647,1.70347826086957,0.312670443636924,0.01,0.61,1.16,23,70.21,70,60.52,83.14,71.67,9.75,0.61,2.4,26.54,108.88,15.36,"sample_00002-218","22.09.22",0,0,"autotrophic"
"sample_00002",54.9732571428571,5.59897651541494,209.014714285714,46.4517180227912,51.2006785714286,5.28517087451637,19.9176685714286,1.38749141412742,13.3106142857143,2.5041396895227,1.53828571428571,0.258347414453139,0.02,0.54,1.84,35,129.67,130,70.47,177.83,96.65,16.2,1.19,3.74,35.76,158.57,29.84,"sample_00002-227","22.09.22",0,0,"autotrophic"
"sample_00002",64.5969538461538,4.49661744895111,290.702769230769,37.8623046460457,62.0025092307692,4.89688254811872,24.2942053846154,1.69630603553176,15.2118,1.48237382628653,1.60910769230769,0.167823579529677,-0.02,0.73,2.68,65,133.71,134,49.89,210.64,78.6,5.84,0.93,1.16,29.39,146.09,23.34,"sample_00002-26","22.09.22",0,0,"autotrophic"
"sample_00002",56.728141509434,5.44922964138476,229.944481132075,45.0471833506097,56.385666509434,7.05765173093553,22.9378627358491,2.82041259596519,12.6873891509434,1.35276528844411,1.81685849056604,0.218879720772206,-0.02,0.49,4.4,106,389.6,390,88.55,461.42,104.87,13.11,1.21,1.72,32.58,190.33,30.2,"sample_00002-285","22.09.22",0,0,"autotrophic"
"sample_00002",58.4541818181818,4.91555081518508,220.959297520661,31.6270924953709,52.5927979338843,4.19751394698595,21.1076962809917,1.98207964690462,13.3556615702479,1.68209253838733,1.60827272727273,0.270452429581741,0.04,0.65,5,121,222.67,223,44.53,386.8,77.36,13.07,0.27,1.85,41.33,210.03,6.63,"sample_00002-29","22.09.22",0,0,"autotrophic"
"sample_00002",70.065496,5.96569069578758,398.64636,119.307007467277,74.870892,16.4690661163777,28.9867248,6.0536723345901,17.3547684,2.27941862808876,1.681736,0.322819562704177,0.05,0.82,5,125,143.93,71,14.21,463.75,92.75,18.39,0.05,2.59,64.75,459.66,1.3,"sample_00002-30","22.09.22",0,0,"autotrophic"
"sample_00002",54.0014074074074,4.53741532033092,210.195,34.6570016027953,59.0007,6.54930813296923,26.1951,3.6959712909412,10.2714,1.34933264081802,2.60785185185185,0.568876200112231,-0.04,0.84,1.32,27,209.26,203,153.99,244.95,185.57,140.24,0.48,26.79,214.05,1168.64,11.88,"sample_00002-335","22.09.22",0,0,"autotrophic"
"sample_00002",67.2650520833333,10.0997429476094,311.6475,58.0038023640193,66.802303125,5.94502540760722,26.9885671875,2.66121917736795,14.76039375,2.72141106428313,1.89766666666667,0.426971530338146,0.04,0.8,3.88,96,90.11,82,21.26,389.7,100.44,91.41,0.33,9.19,115.8,1142.57,8.24,"sample_00002-366","22.09.22",0,0,"autotrophic"
"sample_00002",51.3175113636364,3.60609313856524,249.951732954545,60.5095867871768,55.7846079545454,7.32718911550407,22.4558693181818,3.00594282476762,14.0546505681818,2.06067141017632,1.62004545454546,0.258932819099255,0.04,0.71,3.88,88,173.73,174,44.78,324.82,83.72,9.88,0.81,1.8,34.42,166.3,8.81,"sample_00002-379","22.09.22",0,0,"autotrophic"
