"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","species","comment","manual_count"
"sample_00004",145.398,15.0416499877786,7041.39642,1622.92638989878,387.7660188,92.7663414356884,139.2670584,30.61696942034,64.5279048,7.33371043205737,2.18872,0.551719432554323,-0.02,0.34,5,125,300.78,301,60.16,657.66,131.53,20.24,1.31,3.71,92.75,506.1,32.83,"sample_00004-31","22.09.22","Ble",NA,9
"sample_00004",108.844262626263,13.1275545569085,7150.16454545455,3792.62582276643,359.866922727273,162.885073905535,134.7741,61.385036096769,57.8718,22.8500993114686,2.20552525252525,0.467699959276055,0.07,0.87,4.04,99,361.84,362,89.56,538.55,133.3,57.79,0.16,6.16,84.97,481.61,4.12,"sample_00004-67","22.09.22","Ble",NA,9
"sample_00004",128.724989690722,19.9873278142963,8633.97162371134,2369.44512077868,463.848796391753,82.3360734214459,184.840037628866,33.636764845678,57.5231103092784,11.517244389352,3.2439793814433,0.264221536600974,0.02,0.26,3.88,97,642.98,643,165.72,673.46,173.57,12.83,0.79,2.74,68.43,320.68,19.85,"sample_00004-75","22.09.22","Ble",NA,9
"sample_00005",110.944952,2.54079815646009,7886.19078000001,379.118012255916,459.6159348,28.4238157867171,187.8379308,12.262544780933,53.5500396,2.04601213603888,3.518712,0.329064137683944,0.01,0.05,5,125,1928.57,1929,385.71,2105.89,421.18,23.05,11.51,2.4,59.98,576.23,287.74,"sample_00005-1","22.09.22","Ble",NA,2
"sample_00005",111.128440860215,22.7766389036921,7240.20459677419,2288.87167568529,396.681387096774,107.911299661514,159.344985483871,48.1718365811956,57.1863483870968,9.46672739006731,2.82191397849462,0.906697586993039,0.05,0.3,3.72,93,306.67,307,82.44,693.76,186.49,38.97,1.68,4.29,107.26,974.23,41.89,"sample_00005-2","22.09.22","Ble",NA,2
"sample_00006",107.122709677419,8.20768274218298,8621.89475806452,991.404800040137,445.990703225807,50.8875763015737,178.022681854839,20.1306595831073,61.4845850806452,4.74363348364026,2.90011290322581,0.334846262737919,0.04,0.24,5,124,1056.53,1057,211.31,1730.85,346.17,57.56,4.83,7,148.39,1308.17,120.66,"sample_00006-11","22.09.22","Ble",NA,5
"sample_00006",110.116912,5.93575453259531,7640.80938,634.013917877569,365.6586564,24.2012175809841,140.7989952,10.1367844868737,69.1382304,3.77073497329452,2.043808,0.199149307580211,0.01,0.05,5,125,1668.96,1669,333.79,1713.77,342.75,30.55,8.31,2.63,65.82,763.8,207.74,"sample_00006-14","22.09.22","Ble",NA,5
"sample_00006",113.01672,19.2200274938543,6386.4774,965.445362641725,354.1926852,56.3972221440421,139.3376904,28.7813551865079,59.2420068,4.55870155315078,2.399392,0.634618248164379,0.02,0.24,5,125,1434.01,1434,286.8,1533.52,306.7,24.97,0.29,6.71,167.85,624.36,7.17,"sample_00006-17","22.09.22","Ble",NA,5
"sample_00006",48.8191637931034,2.56348983238955,304.011853448276,75.319017513854,61.4445051724138,7.60541655154369,23.312463362069,2.57913324830142,16.4694995689655,3.1842894456152,1.45401724137931,0.247991759426857,-0.02,0.51,4.64,116,215.57,216,46.46,372.84,80.35,6.75,0.3,1.57,39.56,168.78,7.47,"sample_00006-26","22.09.22","Ble",NA,5
"sample_00006",118.961688,8.03206650027091,11226.65832,696.449080807302,500.3252712,21.8847297563271,208.1997756,10.5844793773211,68.7171276,3.76745793202457,3.042048,0.272789528225842,-0.03,0.12,5,125,1462.58,1299,259.76,1799.2,359.84,29.46,2.16,5.06,126.56,736.45,53.88,"sample_00006-6","22.09.22","Ble",NA,5
"sample_00007",114.286414285714,11.4978756531815,13662.5795357143,3449.36812723665,551.388638571429,108.803550168661,215.103310714286,44.6960535102567,79.4822335714286,11.3884914466688,2.70734285714286,0.5227316180541,0.06,0.46,2.8,70,169.61,170,60.57,732.62,261.65,60.94,1.18,10.35,258.75,1523.62,29.55,"sample_00007-27","22.09.22","Ble",NA,2
