"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","day","trophic_type"
"sample_00001",22.457,2.26647845360267,482.49594,73.0632924269674,84.2478084,6.54190489785429,34.103754,3.06569413653322,17.997066,1.97201535099003,1.91772,0.27509724380369,-0.05,0.69,5,125,209.35,209,41.87,407.8,81.56,6.81,0.35,1.4,35.07,170.24,8.83,"sample_00001-145","22.09.22",0,0,"autotrophic"
"sample_00001",20.354472,2.87036494694406,573.95628,148.567411039384,89.0154683999999,9.84995361357494,34.1197272,4.08498530961105,21.1029948,3.63064896664286,1.641256,0.198561029214145,0.11,0.72,5,125,156.37,156,31.27,418.42,83.68,6.99,0.49,1.53,38.22,174.83,12.33,"sample_00001-154","22.09.22",0,0,"autotrophic"
"sample_00001",35.3321282051282,5.01754161957662,499.645384615385,114.0035019452,83.6171307692308,10.314275332784,32.9123769230769,4.43837277599167,19.1980384615385,2.83910697096124,1.73825641025641,0.278072474266457,0.21,0.68,1.56,39,31.8,20,13.12,112.71,72.25,5.85,0.38,1.18,29.44,146.23,9.53,"sample_00001-170","22.09.22",0,0,"autotrophic"
"sample_00001",26.025176,3.35832655395031,779.97168,163.102490115055,107.544996,17.5905815531061,41.1418116,6.99094003691949,24.3151308,3.66407816174744,1.743904,0.436874482306214,-0.02,0.59,5,125,113.72,52,10.37,407.53,81.51,21.98,0.4,2.55,63.74,549.58,10.04,"sample_00001-171","22.09.22",0,0,"autotrophic"
"sample_00001",37.921192,4.00031786982146,722.89098,55.9027952289046,95.8623983999999,4.1421856733587,34.8219972,2.30448590211276,26.490078,2.09231691035629,1.325576,0.163808861078215,0.03,0.59,5,125,213.41,213,42.68,434.36,86.87,7.89,0.3,1.51,37.87,197.24,7.59,"sample_00001-187","22.09.22",0,0,"autotrophic"
"sample_00001",24.614984,2.68253793222136,631.8243,88.197423377234,103.1796468,9.59971798908013,41.3113608,6.67179477235464,19.8739656,3.59264180613573,2.18852,0.677832665619359,-0.03,0.73,5,125,101.67,101,20.15,448.54,89.71,7,0.64,1.47,36.81,174.99,15.89,"sample_00001-19","22.09.22",0,0,"autotrophic"
"sample_00001",34.659744,8.51223617837969,1799.28864,471.375597679442,171.0856404,41.0685192840833,57.3760908,14.5540627061564,40.1077008,3.98614392377492,1.452184,0.419040616708706,0,0.63,5,125,187.51,188,37.5,489.32,97.86,23.25,0.09,3.32,82.99,581.22,2.17,"sample_00001-201","22.09.22",0,0,"autotrophic"
"sample_00001",19.2009710144928,1.16474306647955,508.4775,153.869089001008,83.3555739130435,11.730652472487,28.6802217391304,3.91111299505763,22.0777826086956,4.28156787462107,1.32185507246377,0.158191737287225,0,0.9,2.76,69,67.96,68,24.62,208.84,75.67,6.23,0.18,1.37,34.14,155.82,4.59,"sample_00001-207","22.09.22",0,0,"autotrophic"
"sample_00001",32.396168,6.31822697380492,1147.12524,142.898723817576,133.9470432,8.22020837947737,51.5361528,5.32135939358523,28.6605216,4.7231588291328,1.870536,0.482422742335579,-0.05,0.53,5,125,105.41,104,20.85,419.84,83.97,6.56,0.47,1.36,34.05,163.91,11.64,"sample_00001-209","22.09.22",0,0,"autotrophic"
"sample_00001",19.6610833333333,2.7600399794941,415.53,139.906328465031,88.47916875,21.0011222788306,27.56379375,5.51173130218258,18.7714125,3.4325578433408,1.48216666666667,0.242002635031767,-0.43,1.05,1.04,24,26.27,26,25.26,88.46,85.06,8.18,0.98,2.19,49.39,185.87,24.5,"sample_00001-212","22.09.22",0,0,"autotrophic"
"sample_00001",22.978032,1.88373533744748,960.661620000001,108.268845263833,115.2825372,6.68707200761864,40.249224,2.54359968370646,30.3856596,2.79774112792065,1.335864,0.152349626760926,0.01,0.44,5,125,312.73,266,53.24,423.51,84.7,7.28,1.35,1.29,32.14,181.9,33.77,"sample_00001-213","22.09.22",0,0,"autotrophic"
"sample_00001",33.130976,3.05388136286458,842.82606,87.262175219962,108.5056884,5.54572263212515,41.2005204,3.28282582615693,26.2023012,3.46713552601926,1.607464,0.287539970405238,-0.07,0.63,5,125,110.95,40,8.04,416.41,83.28,6.01,0.4,1.17,29.34,150.24,10.03,"sample_00001-214","22.09.22",0,0,"autotrophic"
"sample_00001",25.717864,3.19656429054898,869.59494,251.169149475473,112.1669208,22.297489096646,42.0050124,9.45012791484441,26.324028,3.69450442794713,1.62464,0.380648351818231,0.05,0.61,5,125,160.45,117,23.41,465.95,93.19,21.61,0.1,2.57,64.2,540.14,2.42,"sample_00001-215","22.09.22",0,0,"autotrophic"
